127,86,0.40625
132,102,0.46875
119,112,0.375
130,131,0.45312
146,130,0.51562
143,122,0.29688
155,113,0.45312
160,115,0.375
172,122,0.45312
177,116,0.5
199,95,0.45312
223,86,0.4375
217,76,0.54688
196,81,0.45312
186,88,0.5
173,92,0.46875
161,93,0.48438
152,78,0.53125
164,77,0.51562
173,75,0.42188
114,81,0.45312
193,109,0.42188
218,108,0.26562
212,95,0.375
210,86,0.39062
240,75,0.45312
240,87,0.3125
115,145,0.51562
139,144,0.45312
150,96,0.4375
146,88,0.46875
111,96,0.54688
40,84,0.51562
54,86,0.46875
67,82,0.4375
71,92,0.34375
89,93,0.54688
89,86,0.53125
102,93,0.40625
113,93,0.34375
121,103,0.5
136,92,0.34375
149,90,0.20312
152,97,0.39062
141,102,0.45312
169,92,0.125
177,117,0.29688
190,120,0.40625
200,114,0.39062
206,116,0.45312
222,116,0.46875
193,92,0.14062
274,132,0.375
232,137,0.45312
270,150,0.26562
285,149,0.4375
262,139,0.26562
239,130,0.46875
214,131,0.4375
202,129,0.46875
189,112,0.40625
26,92,0.3125
152,49,0.39062
168,48,0.40625
184,48,0.45312
201,52,0.4375
219,48,0.46875
124,93,0.46875
128,81,0.42188
145,87,0.60938
158,95,0.6875
167,78,0.6875
178,88,0.64062
194,86,0.5
188,79,0.5
209,76,0.54688
220,81,0.45312
229,83,0.42188
228,76,0.4375
145,125,0.51562
159,135,0.5
175,124,0.73438
172,115,0.75
195,110,0.71875
211,114,0.59375
147,164,0.48438
168,156,0.51562
184,157,0.625
115,127,0.42188
113,118,0.40625
109,93,0.4375
112,87,0.46875
120,39,0.28125
112,52,0.32812
146,41,0.39062
