36,152,-0.17188
51,158,-0.15625
52,176,-0.17188
67,168,-0.23438
83,167,-0.15625
91,189,-0.15625
77,198,-0.17188
62,203,-0.17188
100,219,-0.14062
126,196,-0.125
143,191,-0.15625
158,185,-0.15625
172,184,-0.17188
197,176,-0.17188
142,209,-0.17188
134,229,-0.14062
118,210,-0.14062
103,206,-0.14062
82,214,-0.15625
40,213,-0.078125
16,209,-0.0625
25,223,-0.0625
159,231,-0.14062
98,187,-0.15625
72,186,-0.20312
27,144,-0.17188
222,181,-0.14062
153,223,-0.10938
122,233,-0.14062
66,218,-0.125
51,189,-0.20312
46,169,-0.21875
63,154,-0.15625
59,77,-0.28125
92,77,-0.3125
124,77,-0.375
131,56,-0.375
120,40,-0.39062
122,29,-0.35938
141,49,-0.39062
151,74,-0.35938
182,76,-0.35938
206,67,-0.375
221,66,-0.39062
242,63,-0.40625
261,64,-0.375
193,86,-0.39062
205,119,-0.40625
208,101,-0.39062
186,103,-0.35938
163,85,-0.375
206,145,-0.40625
231,128,-0.4375
236,122,-0.45312
256,156,-0.40625
225,150,-0.40625
243,145,-0.39062
250,178,-0.39062
237,168,-0.39062
260,201,-0.40625
277,174,-0.42188
295,206,-0.32812
306,213,-0.32812
280,223,-0.34375
314,145,-0.29688
334,161,-0.20312
346,176,-0.3125
260,216,-0.42188
20,214,-0.0625
21,223,-0.10938
33,213,-0.0625
39,220,-0.10938
53,212,-0.078125
66,218,-0.03125
84,206,0.21875
106,209,-0.1875
125,212,-0.25
150,212,-0.25
156,214,-0.29688
178,213,-0.26562
188,218,-0.25
184,227,-0.25
203,230,-0.26562
204,225,-0.25
201,216,-0.26562
216,223,-0.26562
221,232,-0.26562
195,236,-0.28125
176,227,-0.25
164,216,-0.21875
161,204,-0.20312
133,212,-0.26562
102,210,-0.21875
71,213,-0.078125
74,206,0.015625
44,210,-0.17188
47,218,-0.10938
96,213,-0.25
117,209,-0.26562
