290,226,-0.046875
315,230,-0.0625
356,228,-0.015625
358,211,-0.03125
328,212,-0.0625
300,212,-0.03125
284,197,-0.046875
312,201,-0.03125
321,185,-0.0625
292,189,-0.0625
337,195,0
358,197,-0.03125
346,189,0
300,174,-0.03125
285,164,-0.078125
294,156,-0.09375
321,155,0
348,173,0.015625
47,144,-0.125
59,135,-0.15625
70,126,-0.15625
80,118,-0.125
54,93,-0.1875
74,88,-0.14062
81,82,-0.1875
64,58,-0.09375
51,64,-0.10938
47,66,-0.10938
26,59,0.10938
45,55,-0.046875
27,48,-0.03125
39,44,-0.015625
48,43,-0.015625
17,222,-0.015625
19,195,0.015625
8,176,-0.015625
28,175,-0.03125
31,190,-0.015625
16,145,-0.015625
36,140,-0.046875
28,127,-0.015625
32,117,-0.015625
38,91,-0.03125
20,81,-0.015625
152,68,-0.09375
161,92,-0.078125
172,119,-0.0625
199,179,-0.09375
113,194,-0.046875
76,172,-0.0625
305,175,-0.0625
291,164,-0.078125
307,153,-0.015625
322,166,0
333,183,0.015625
349,196,0.015625
338,161,-0.03125
270,184,-0.09375
313,236,-0.015625
195,92,-0.09375
110,118,-0.0625
117,139,-0.0625
113,156,-0.0625
117,178,-0.078125
48,67,-0.015625
23,58,0.046875
136,70,-0.10938
141,233,0.046875
135,223,0.09375
257,139,-0.03125
261,127,-0.078125
276,141,-0.046875
295,153,0
320,169,0.046875
344,195,0.0625
333,117,-0.078125
275,99,-0.125
238,116,-0.125
213,108,-0.10938
231,127,-0.078125
198,107,-0.10938
255,89,-0.125
305,105,-0.10938
321,118,-0.078125
346,121,-0.09375
346,173,0.0625
362,195,0.078125
188,99,-0.10938
162,84,-0.15625
235,83,-0.14062
202,78,-0.10938
183,91,-0.078125
253,131,-0.03125
272,153,0.03125
294,167,0.03125
361,127,-0.046875
294,109,-0.09375
269,96,-0.125
203,226,-0.03125
222,213,0.0625
276,236,0.0625
248,217,-0.09375
